model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.8246422166742853,0.5929723817336615,0.6833149519458012,0.6349461972037186,0.8662770602708395
Logistic Regression,0.7877562502197686,0.5168381158635625,0.7520088230660155,0.6126299576434348,0.8583077795389411
Dummy baseline,0.7768205633109463,0.0,0.0,0.0,0.5
