model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.8339604064840536,0.6119463632669646,0.7087058823529412,0.6567815089402529,0.8827653599510871
Logistic Regression,0.7935229790077007,0.5267467829416144,0.7769411764705882,0.6278362276587653,0.8727511695033343
Dummy baseline,0.775835999859348,0.0,0.0,0.0,0.5
